date,metric,store,agent,lang,searchterm,rank
2021-05-17 11:29:10,business.store.rank,playstore,at.smartlab.tshop,"Android5","en-US","cash register",19
2021-05-17 11:29:10,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","pos",7
2021-05-17 11:29:11,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","point of sale",6
2021-05-17 11:29:11,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","kasse",3
2021-05-17 11:29:12,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","restaurant pos",10
2021-05-17 11:29:12,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","invoice print",10
2021-05-17 11:29:13,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","cashier",10
2021-05-17 11:29:13,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","cash register",10
2021-05-17 11:29:14,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","pos",4
2021-05-17 11:29:14,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","point of sale",6
2021-05-17 11:29:15,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","kasse",3
2021-05-17 11:29:15,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","restaurant pos",35
2021-05-17 11:29:16,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","invoice print",50
2021-05-17 11:29:16,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","cashier",31
2021-05-17 11:29:17,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","cash register",20
2021-05-17 11:29:17,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","pos",4
2021-05-17 11:29:17,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","point of sale",6
2021-05-17 11:29:18,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","kasse",3
2021-05-17 11:29:18,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","restaurant pos",10
2021-05-17 11:29:19,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","invoice print",10
2021-05-17 11:29:19,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","cashier",10
2021-05-17 11:29:20,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","cash register",10
2021-05-17 11:29:20,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","pos",7
2021-05-17 11:29:21,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","point of sale",3
2021-05-17 11:29:21,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","kasse",2
2021-05-17 11:29:22,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","restaurant pos",29
2021-05-17 11:29:22,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","invoice print",50
2021-05-17 11:29:23,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","cashier",37
2021-05-17 11:29:23,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","cash register",10
2021-05-17 11:29:24,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","pos",7
2021-05-17 11:29:24,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","point of sale",7
2021-05-17 11:29:25,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","kasse",2
2021-05-17 11:29:25,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","restaurant pos",10
2021-05-17 11:29:26,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","invoice print",10
2021-05-17 11:29:26,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","cashier",10
2021-05-17 11:29:26,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","cash register",10
2021-05-17 11:29:27,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","pos",7
2021-05-17 11:29:27,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","point of sale",7
2021-05-17 11:29:28,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","kasse",9
2021-05-17 11:29:28,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","restaurant pos",17
2021-05-17 11:29:29,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","invoice print",50
2021-05-17 11:29:30,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","cashier",50
2021-05-17 11:29:30,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","cash register",15
2021-05-17 11:29:31,business.store.rank,playstore,at.smartlab.tshop,"Android11","id-ID","pos",7
2021-05-17 11:29:31,business.store.rank,playstore,at.smartlab.tshop,"Android11","id-ID","point of sale",7
2021-05-17 11:29:31,business.store.rank,playstore,at.smartlab.tshop,"Android11","id-ID","kasse",9
2021-05-17 11:29:32,business.store.rank,playstore,at.smartlab.tshop,"Android11","id-ID","restaurant pos",10
2021-05-17 11:29:32,business.store.rank,playstore,at.smartlab.tshop,"Android11","id-ID","invoice print",10
2021-05-17 11:29:33,business.store.rank,playstore,at.smartlab.tshop,"Android11","id-ID","cashier",10
2021-05-17 11:29:33,business.store.rank,playstore,at.smartlab.tshop,"Android11","id-ID","cash register",10
2021-05-17 11:30:08,business.store.rank,playstore,at.smartlab.tshop,"Android5","en-US","pos",7
2021-05-17 11:30:09,business.store.rank,playstore,at.smartlab.tshop,"Android5","en-US","point of sale",6
2021-05-17 11:30:09,business.store.rank,playstore,at.smartlab.tshop,"Android5","en-US","kasse",3
2021-05-17 11:30:10,business.store.rank,playstore,at.smartlab.tshop,"Android5","en-US","restaurant pos",50
2021-05-17 11:30:10,business.store.rank,playstore,at.smartlab.tshop,"Android5","en-US","invoice print",50
2021-05-17 11:30:11,business.store.rank,playstore,at.smartlab.tshop,"Android5","en-US","cashier",50
2021-05-17 11:30:12,business.store.rank,playstore,at.smartlab.tshop,"Android5","en-US","cash register",19
2021-05-17 11:30:12,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","pos",7
2021-05-17 11:30:12,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","point of sale",6
2021-05-17 11:30:13,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","kasse",3
2021-05-17 11:30:13,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","restaurant pos",10
2021-05-17 11:30:14,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","invoice print",10
2021-05-17 11:30:14,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","cashier",10
2021-05-17 11:30:15,business.store.rank,playstore,at.smartlab.tshop,"Android11","en-US","cash register",10
2021-05-17 11:30:15,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","pos",4
2021-05-17 11:30:16,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","point of sale",6
2021-05-17 11:30:16,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","kasse",3
2021-05-17 11:30:17,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","restaurant pos",35
2021-05-17 11:30:17,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","invoice print",50
2021-05-17 11:30:18,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","cashier",31
2021-05-17 11:30:18,business.store.rank,playstore,at.smartlab.tshop,"Android5","de-DE","cash register",20
2021-05-17 11:30:19,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","pos",4
2021-05-17 11:30:19,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","point of sale",6
2021-05-17 11:30:20,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","kasse",3
2021-05-17 11:30:20,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","restaurant pos",10
2021-05-17 11:30:20,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","invoice print",10
2021-05-17 11:30:21,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","cashier",10
2021-05-17 11:30:21,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","cash register",10
2021-05-17 11:30:22,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","pos",6
2021-05-17 11:30:22,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","point of sale",7
2021-05-17 11:30:23,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","kasse",2
2021-05-17 11:30:24,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","restaurant pos",29
